id	client_id	path	sentence	age	gender
1239	ara_tst_sp_26	common_voice_ar_19203953.wav	لا بد أنك تمزح!	twenties	male
1050	ara_tst_sp_16	common_voice_ar_21374204.wav	ماذا هناك في حقيبتك ؟	twenties	male
1019	ara_tst_sp_14	common_voice_ar_21310390.wav	لا أحد يملك القمر.	twenties	male
1030	ara_tst_sp_15	common_voice_ar_19204525.wav	كلا الطالبين لم ينجحا الإختبار.	not_defined	not_defined
871	ara_tst_sp_4	common_voice_ar_19947195.wav	القلعة جميلة.	not_defined	not_defined
895	ara_tst_sp_5	common_voice_ar_19274825.wav	.لا يستطيع أحدٌ مساعدتي	twenties	male
904	ara_tst_sp_6	common_voice_ar_19706400.wav	بإمكان بيتي العزف على البيانو.	twenties	female
1065	ara_tst_sp_17	common_voice_ar_19794804.wav	على العموم ، التاريخ يكرّر نفسه.	fourties	male
1042	ara_tst_sp_16	common_voice_ar_21091561.wav	لا يوجد شك.	twenties	male
1106	ara_tst_sp_19	common_voice_ar_19089326.wav	.أخذ الولد يبكي	not_defined	not_defined
1171	ara_tst_sp_23	common_voice_ar_19220443.wav	ألا يمكنك أن تأجلها إلى الغد ؟	not_defined	not_defined
1018	ara_tst_sp_14	common_voice_ar_21310360.wav	.لوني المفضّل هو الأحمر	twenties	male
984	ara_tst_sp_12	common_voice_ar_21101455.wav	أظنه يختلف حين تفكر فيه على المدى البعيد.	twenties	female
964	ara_tst_sp_11	common_voice_ar_19206424.wav	.أخذ أخته معه	not_defined	not_defined
998	ara_tst_sp_13	common_voice_ar_19653516.wav	أظن أنني قد كنت هنا.	teens	male
912	ara_tst_sp_7	common_voice_ar_19897046.wav	بالصحة و العافية!	not_defined	not_defined
1121	ara_tst_sp_20	common_voice_ar_19664726.wav	.لا يمكنني نسيان معروفه	twenties	male
1029	ara_tst_sp_15	common_voice_ar_19204523.wav	هذه السيارة أكبر من تلك.	not_defined	not_defined
1103	ara_tst_sp_19	common_voice_ar_19089321.wav	.أُعجبت عمتي بنجاحي	not_defined	not_defined
1033	ara_tst_sp_15	common_voice_ar_19204547.wav	.احترقت المنازل واحدة تلو الأخرى	not_defined	not_defined
1213	ara_tst_sp_25	common_voice_ar_19220381.wav	.ذلك مثير للإهتمام	twenties	male
944	ara_tst_sp_9	common_voice_ar_19666398.wav	الجو حار جداً.	not_defined	not_defined
925	ara_tst_sp_8	common_voice_ar_19955693.wav	شارك في المظاهرة ما يقارب ألف شخص.	not_defined	not_defined
1095	ara_tst_sp_19	common_voice_ar_19060091.wav	الألمانية ليست لغة سهلة.	not_defined	not_defined
1228	ara_tst_sp_26	common_voice_ar_19203931.wav	أين تلعب التنس ؟	twenties	male
1244	ara_tst_sp_26	common_voice_ar_19203958.wav	عندما كنتُ في الثانويّة ، استيقظتُ السادسةَ كل صباح.	twenties	male
1079	ara_tst_sp_18	common_voice_ar_19204289.wav	يصبح الجو أبرد يوماً بعد يوم.	not_defined	not_defined
1212	ara_tst_sp_25	common_voice_ar_19220379.wav	لم يُقدَّر للبشر إطلاقًا أن يعيشوا إلى الأبد.	twenties	male
1120	ara_tst_sp_20	common_voice_ar_19664723.wav	مللت من الاستماع اليه و هو يتباهى بنفسه.	twenties	male
1179	ara_tst_sp_23	common_voice_ar_19220457.wav	! آه ، هناك فراشة	not_defined	not_defined
932	ara_tst_sp_8	common_voice_ar_19968969.wav	عليك أن ترتاح بعد التمرين.	not_defined	not_defined
851	ara_tst_sp_2	common_voice_ar_19489430.wav	كنت في الجبال.	thirties	male
957	ara_tst_sp_10	common_voice_ar_19233862.wav	هذا زميلي بالمحاضرة	twenties	male
926	ara_tst_sp_8	common_voice_ar_19955695.wav	.هدفي في الحياة هو أن أصبح كاتباً روائياً	not_defined	not_defined
1156	ara_tst_sp_22	common_voice_ar_19204693.wav	بكين هي عاصمة الصين.	not_defined	not_defined
936	ara_tst_sp_8	common_voice_ar_19969091.wav	يجب أن تفي بوعدك.	not_defined	not_defined
873	ara_tst_sp_4	common_voice_ar_19947204.wav	دائماً ما تبقي غرفتها نظيفة.	not_defined	not_defined
966	ara_tst_sp_11	common_voice_ar_19206423.wav	أعطني شيئاً لأكتب عليه.	not_defined	not_defined
885	ara_tst_sp_5	common_voice_ar_19259856.wav	احتاج المزيد من الوقت.	twenties	male
1044	ara_tst_sp_16	common_voice_ar_21315990.wav	أين كتابي ؟	twenties	male
